participant,I,i,I7,i7,viio,viiø7,viio7,iii,III,iii7,III7,vi,VI,vi7,VI7,ii,iio,ii7,iiø7,IV,iv,IV7,iv7,N6,It6,Fr6,Ger6,V/V,V7/V,viio/V,viio7/V,How attracted,block,group
32,6.796,1.994,6.651,1.611,5.561,6.709,5.847,7,1.645,4,1.111,3.273,3.375,1.121,1.363,4.068,5.575,6.176,2.861,4.591,4.465,5.149,5.153,1.751,2.638,5.619,5.977,4.267,1.746,4.16,6.607,"The sounds are very intense, itâ€™s make the listener feel uncomfortable.",1,upperclass
33,7,2.935,1.913,3.924,2.935,6.037,6.07,4.997,6.079,2.555,2.572,4.059,4.034,1.09,1.963,6.07,5.462,6.518,6.087,5.065,6.062,3.915,4.017,5.065,5.014,5.048,5.335,6.206,5.048,5.065,5.031,"dominant five/five7 chords to C. Considering this be the common practice ""rules"". ",1,upperclass
34,7,6.07,4.338,5.014,1.448,1.963,2.437,4.566,2.47,2.521,4.524,2.411,6.045,1.707,4.473,5.039,6.045,7,7,7,7,1.938,4.524,6.518,7,5.606,6.594,6.552,7,7,7,"The most attracted second sounds exhibited dissonances that properly resolved in the third sound. The third sound felt less tense and like it contained more ""pure"" tone than the second sound. ",1,upperclass
35,4.177,3.713,2.149,6.552,3.231,4.904,6.535,3.13,5.048,5.546,3.349,6.07,5.944,0.828,5.893,6.713,2.234,6.932,3.349,5.808,4.854,6.907,6.738,5.31,6.907,6.932,5.563,5.031,3.476,5.682,5.986,"I think that the sounds with the same or very close notes were more attracted. Also, I think that overall the major chords resolving to major chords felt more attraction than many minor to major chords.",1,upperclass
36,4.566,4.777,5.065,5.589,3.704,6.087,5.504,4.431,5.048,5.656,6.003,2.952,5.47,1.188,5.623,3.535,4.025,4.025,4.085,3.949,3.992,5.487,5.437,4.718,6.07,5.175,5.048,5.361,4.938,5.301,5.893,"At first more complex chord which is not so much familiar caught the attention of me but at the end as lots of chords repeated a lot, I felt the simple and familiar chord as attracted sounds",1,upperclass
37,2.437,5.039,4.701,1.963,3.256,4.059,5.58,2.352,1.49,1.913,3.4,2.259,5.31,0.352,6.214,3.451,3.282,3.282,4.71,1.245,1.862,3.062,2.234,2.47,1.169,1,3.079,1.659,1.896,1.955,2.225,The most attracted sounds seemed less complex to my ears and more directly related to the sounds they were attracted to,1,upperclass
38,6.375,6.586,2.454,2.969,1.262,5.614,5.031,5.428,4.059,2.969,1.93,1.363,6.138,0.842,5.487,7,6.755,5.825,2.834,6.07,6.214,5.124,5.572,4.583,5.834,3.941,5.538,7,6.29,6.096,5.901,"There was a feeling of strong resolution in the soprano and bass. Also, the chords seemed to be more open so they had more power.",1,upperclass
21,4.017,3.045,1.845,5.014,4.025,2.927,7,3.569,4.989,3.958,4.059,2.927,4.008,1.879,7,4.059,5.082,7,7,3.983,5.023,5.031,6.096,5.808,5.065,7,7,6.062,6.087,6.062,7,na,2,upperclass
22,4.034,4.524,2.487,2.977,5.724,3.552,6.037,3.713,4.059,2.42,2.977,3.992,5.031,3.535,4.828,4.059,6.569,4.296,6.079,4.059,4.693,1.456,3.983,5.724,6.324,6.054,5.623,4.059,4.575,5.327,6.535,na,2,upperclass
23,4.735,4.761,3.028,4.448,2.961,4.811,4.71,5.048,5.149,4.11,3.468,4.566,5.377,4.397,3.823,3.949,4.059,4.659,5.225,4.769,2.724,5.158,4.059,4.82,5.454,5.462,5.994,4.625,4.693,3.941,5.437,na,2,upperclass
24,6.84,4.814,3.646,4.611,2.124,4.354,3.457,3.792,5.105,1.979,3.956,6.011,6.016,4.121,1.616,6.036,5.468,3.99,6.166,5.532,5.468,3.937,5.91,5.934,4.359,3.704,5.658,4.034,6.477,6.792,4.998,na,2,upperclass
25,6.155,6.806,5.251,1.913,1.135,2.918,3.975,5.775,6.442,1.313,3.856,5.715,5.2,2.192,5.741,5.614,6.662,2.563,7,7,3.332,2.479,6.248,6.704,6.73,6.899,7,6.856,7,4.499,6.087,na,2,upperclass
26,5.699,6.738,3.856,5.09,3.189,5.073,6.915,5.073,5.158,2.014,4.017,4.059,5.977,4.051,6.73,5.377,5.893,5.893,6.831,5.048,5.192,5.563,6.527,6.501,4.938,6.594,4.803,4.676,5.166,5.107,5.994,na,2,upperclass
27,2.557,5.333,4.673,4.707,5.968,6.205,6.602,5.705,4.8,3.59,6.678,5.781,3.759,5.629,5.959,2.354,6.458,6.865,7,5.528,6.145,6.543,6.298,4.554,6.094,6.45,6.162,3.539,5.984,6.645,6.873,na,2,upperclass
28,2.952,4.304,1.431,3.476,3.332,2.411,4.727,4.338,5.293,2.352,1.769,3.806,5.817,1.304,5.352,4.761,5.614,6.096,6.586,4.921,6.037,2.513,5.994,6.163,6.113,6.772,6.544,3.89,5.648,4.887,3.831,na,2,upperclass
29,5.268,6.282,5.546,2.901,4.059,5.099,7,4.059,4.254,3.958,6.299,6.163,7,7,7,7,6.654,7,4.786,5.656,6.113,6.654,7,6.679,5.301,7,7,7,1.896,3.02,2.952,na,2,upperclass
30,6.138,5.023,3.375,3.577,6.18,4.837,6.763,6.146,4.769,3.113,5.597,5.893,5.851,4.566,4.152,6.273,6.028,5.859,6.417,6.831,3.544,4.363,5.377,6.231,4.541,5.91,5.91,6.079,5.885,4.321,6.763,na,2,upperclass
31,5.623,4.997,2.377,2.158,1.068,2.445,5.58,4.693,1.786,5.538,3.087,5.099,5.868,3.223,1.752,5.707,5.732,5.268,6.087,2.335,5.411,5.369,5.961,1.262,5.546,6.07,5.386,5.513,4.87,5.217,6.18,na,2,upperclass
32,5.939,6.365,6.84,3.065,5.788,6.016,6.646,5.09,2.982,6.724,1.901,4.044,2.459,2.973,3.002,5.788,4.509,4.528,7,5.342,6.443,2.842,2.968,3.981,4.204,5.982,5.997,3.084,2.958,6.258,6.714,na,2,upperclass
33,6.586,5.048,1.93,2.969,1.938,2.961,5.048,5.538,4.059,1.913,2.986,2.994,4.059,2.944,1.946,5.445,6.02,7,6.527,7,5.014,4.059,4.059,5.056,5.014,4.482,5.546,5.065,4.059,3.028,5.048,na,2,upperclass
34,5.732,6.045,5.31,5.056,2.961,2.977,5.572,6.535,4.625,4.837,4.017,1.93,3.983,3.155,5.234,6.51,4.524,7,6.037,7,7,2.428,2.969,5.538,4.144,6.51,6.045,5.91,7,7,7,na,2,upperclass
35,5.023,5.555,2.952,5.006,5.952,5.868,6.806,5.082,5.614,6.527,4.6,3.713,6.096,5.732,5.859,6.011,4.49,6.831,6.07,6.146,5.961,2.961,6.172,2.868,4.144,5.876,6.206,5.496,6.67,5.91,5.563,na,2,upperclass
36,3.02,5.014,3.383,5.31,4.068,4.414,4.321,5.031,3.434,4.017,5.749,2.969,4.532,6.079,6.062,3.062,4.034,2.994,5.014,3.992,3.501,4.524,4.989,4.955,4.575,5.454,5.445,4.296,4.921,5.014,5.741,na,2,upperclass
37,2.107,1.11,3.746,2.758,3.78,3.349,3.113,5.808,3.645,4.397,4.625,2.496,2.318,1.718,2.065,1.685,4.473,2.487,3.628,1.338,4.313,5.462,3.206,3.307,1.997,2.859,3.332,1.592,2.09,2.487,2.58,na,2,upperclass
38,7,6.679,2.944,4.592,5.901,2.496,3.755,6.856,4.583,3.13,2.673,6.07,5.597,5.927,7,5.766,6.248,6.569,5.961,2.935,5.47,4.515,6.307,6.079,5.563,5.445,5.901,6.586,5.555,5.048,5.876,na,2,upperclass
