Stimuli,mean_attract_prolific,mean_attract_freshman,mean_attract_upperclass,parncut_roughness,semitone_voice_move,rootmotion,lerdhal_tension,number_tendency_tones4_6,4+6,#4+6,4+b6,#4+b6,before_v_kostka_payne,before_v_rolling_stone,diatonic_chromatic_bridge_nonpd,seventh_true,major_minor_chromatic,1,b2/#1,2,b3,3,4,#4,5,b6,6,b7,7
"15. IV7: F, A, C, E",4.0371,4.41222222222222,4.37522222222222,0.3041,1,0,8,2,1,0,0,0,11,514,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
"16. iv7: F, Ab, C, Eb",4.214975,4.65425,5.10622222222222,0.2347,3,0,8,2,0,1,0,0,11,514,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
"17. vi: A, C, E",5.077025,4.60672222222222,4.04891666666667,0.1012,0,0,8,1,0,0,0,0,2,124,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"18. VI: Ab, C, Eb",4.97495,4.90419444444444,5.13444444444444,0.1014,2,0,8,1,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,1,0,0,0
"19. vi7: A, C, E, G",4.368275,3.98744444444445,2.69822222222222,0.235,1,0,7,1,0,0,0,0,2,124,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0
"20. VI7: Ab, C, Eb, G",4.33135,4.83283333333333,4.73202777777778,0.3045,3,0,7,1,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,1,1,0,0,0
"21. viio: B, D, F",4.636125,4.06563888888889,3.57291666666667,0.1315,0,0,3,1,0,0,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"22. viiØ7: B, D, F, A",4.448325,3.86144444444444,4.43297222222222,0.2326,0,0,3,2,1,0,0,0,1,0,4,1,0,0,0,1,0,0,1,0,0,0,1,0,1
"23. viio7: B, D, F, Ab",4.152125,4.70538888888889,5.49566666666667,0.1975,1,0,3,2,0,0,1,0,1,0,4,1,1,0,0,1,0,0,1,0,0,1,0,0,1
"24. N6: F, Ab, Db",4.48985,4.18377777777778,4.87883333333333,0.1013,2,0,7,2,0,0,1,0,0,0,2,0,2,0,1,0,0,0,1,0,0,1,0,0,0
"25. It6: Ab, C, F#",4.06915,4.59630555555556,5.01777777777778,0.1745,3,0,7,2,0,0,0,1,19,n/a,2,1,2,1,0,0,0,0,0,1,0,1,0,0,0
"26. Fr6: Ab, C, D, F#",3.86455,4.84619444444444,5.59594444444444,0.261,3,0,6,2,0,0,0,1,19,n/a,2,1,2,1,0,1,0,0,0,1,0,1,0,0,0
"27. Gr6: Ab, C, Eb, F#",4.3196,5.09613888888889,5.91430555555556,0.2321,4,0,7,2,0,0,0,1,19,n/a,2,1,2,1,0,0,1,0,0,1,0,1,0,0,0
"28. V/V: D, F#, A",5.2367,4.56441666666667,4.77641666666667,0.1017,1,1,8,2,0,1,0,0,45,97,2,0,2,0,0,1,0,0,0,1,0,0,1,0,0
"29. V7/V: D, F#, A, C",4.70185,5.14875,5.052,0.2325,2,1,8,2,0,1,0,0,45,97,2,1,2,1,0,1,0,0,0,1,0,0,1,0,0
"30. viio/V: F#, A, C",4.617775,4.94605555555556,5.09458333333333,0.1322,2,0,9,2,0,1,0,0,9,0,2,0,2,1,0,0,0,0,0,1,0,0,1,0,0
"31. viio7/V: F#, A, C, Eb",4.07095,4.59052777777778,5.62188888888889,0.1977,3,0,9,2,0,1,0,0,9,0,2,1,2,1,0,0,1,0,0,1,0,0,1,0,0
